category;count
2004/Bulgaria/Wrestling;1
2004/Cameroon/Athletics;1
2004/Canada/Canoeing;3
2004/Canada/Cycling;2
2004/Canada/Diving;3
2004/Canada/Gymnastics;1
2004/Canada/Rowing;4
2004/Canada/Sailing;2
2004/Canada/Trampoline;1
2004/Canada/Wrestling;1
2004/Chile/Tennis;4
2004/China/Archery;3
2004/China/Athletics;2
2004/China/Badminton;8
2004/China/Boxing;1
2004/China/Canoeing;2
2004/China/Cycling;1
2004/China/Diving;12
2004/China/Fencing;6
2004/China/Gymnastics;3
2004/China/Judo;5
2004/China/Sailing;1
2004/China/Shooting;9
2004/China/Swimming;6
2004/China/Table Tennis;9
2004/China/Taekwondo;2
2004/China/Tennis;2
2004/China/Trampoline;1
2004/China/Volleyball;12
2004/China/Weightlifting;8
2004/China/Wrestling;1
2004/Chinese Taipei/Archery;6
2004/Chinese Taipei/Taekwondo;3
2004/Colombia/Cycling;1
2004/Colombia/Weightlifting;1
2004/Croatia/Handball;15
2004/Croatia/Rowing;2
2004/Croatia/Swimming;1
2004/Croatia/Tennis;2
2004/Croatia/Weightlifting;1
2004/Cuba/Athletics;5
2004/Cuba/Baseball;24
2004/Cuba/Boxing;8
2004/Cuba/Canoeing;2
2004/Cuba/Judo;6
2004/Cuba/Shooting;1
2004/Cuba/Taekwondo;1
2004/Cuba/Volleyball;12
2004/Cuba/Wrestling;3
2004/Czech Republic/Athletics;2
2004/Czech Republic/Canoeing;2
2004/Czech Republic/Modern Pentathlon;1
2004/Czech Republic/Rowing;4
2004/Czech Republic/Sailing;1
2004/Czech Republic/Shooting;2
2004/Denmark/Athletics;2
2004/Denmark/Badminton;2
2004/Denmark/Handball;15
2004/Denmark/Rowing;4
2004/Denmark/Sailing;4
2004/Denmark/Table Tennis;2
2004/Dominican Republic/Athletics;1
2004/Egypt/Boxing;3
2004/Egypt/Taekwondo;1
2004/Egypt/Wrestling;1
2004/Eritrea/Athletics;1
2004/Estonia/Athletics;1
2004/Estonia/Judo;1
2004/Estonia/Rowing;1
2004/Ethiopia/Athletics;7
2004/Finland/Shooting;1
2004/Finland/Wrestling;1
2004/France/Athletics;5
2004/France/Boxing;1
2004/France/Canoeing;3
2004/France/Cycling;5
2004/France/Equestrian;5
2004/France/Fencing;14
2004/France/Gymnastics;1
2004/France/Judo;1
2004/France/Rowing;4
2004/France/Sailing;3
2004/France/Swimming;6
2004/France/Taekwondo;2
2004/France/Tennis;1
2004/France/Wrestling;2
2004/Georgia/Judo;2
2004/Georgia/Weightlifting;1
2004/Georgia/Wrestling;1
2004/Germany/Athletics;2
2004/Germany/Boxing;2
2004/Germany/Canoeing;19
2004/Germany/Cycling;8
2004/Germany/Diving;2
2004/Germany/Equestrian;9
2004/Germany/Fencing;6
2004/Germany/Football;17
2004/Germany/Handball;15
2004/Germany/Hockey;32
2004/Germany/Judo;4
2004/Germany/Rowing;9
2004/Germany/Shooting;3
2004/Germany/Swimming;17
2004/Germany/Tennis;2
2004/Germany/Trampoline;2
2004/Great Britain/Archery;1
2004/Great Britain/Athletics;7
2004/Great Britain/Badminton;2
2004/Great Britain/Boxing;1
2004/Great Britain/Canoeing;3
2004/Great Britain/Cycling;10
2004/Great Britain/Diving;2
2004/Great Britain/Equestrian;7
2004/Great Britain/Modern Pentathlon;1
2004/Great Britain/Rowing;12
2004/Great Britain/Sailing;9
2004/Great Britain/Swimming;2
2004/Greece/Athletics;5
2004/Greece/Diving;2
2004/Greece/Gymnastics;1
2004/Greece/Judo;1
2004/Greece/Rowing;2
2004/Greece/Sailing;3
2004/Greece/Taekwondo;2
2004/Greece/Waterpolo;13
2004/Greece/Weightlifting;1
2004/Greece/Wrestling;1
2004/Hong Kong/Table Tennis;2
2004/Hungary/Athletics;1
2004/Hungary/Canoeing;14
2004/Hungary/Fencing;6
2004/Hungary/Modern Pentathlon;1
2004/Hungary/Shooting;1
2004/Hungary/Swimming;2
2004/Hungary/Waterpolo;13
2004/Hungary/Weightlifting;1
2004/Hungary/Wrestling;1
2004/India/Shooting;1
2004/Indonesia/Badminton;4
2004/Indonesia/Weightlifting;1
2004/Iran/Taekwondo;2
2004/Iran/Weightlifting;1
2004/Iran/Wrestling;3
2004/Israel/Judo;1
2004/Israel/Sailing;1
2004/Italy/Archery;1
2004/Italy/Athletics;3
2004/Italy/Basketball;12
2004/Italy/Boxing;1
2004/Italy/Canoeing;3
2004/Italy/Cycling;1
2004/Italy/Fencing;11
2004/Italy/Football;17
2004/Italy/Gymnastics;2
2004/Italy/Judo;1
2004/Italy/Rhythmic Gymnastics;6
2004/Italy/Rowing;10
2004/Italy/Sailing;1
2004/Italy/Shooting;3
2004/Italy/Swimming;7
2004/Italy/Volleyball;12
2004/Italy/Waterpolo;13
2004/Jamaica/Athletics;13
2004/Japan/Archery;1
2004/Japan/Athletics;2
2004/Japan/Baseball;24
2004/Japan/Cycling;3
2004/Japan/Gymnastics;9
2004/Japan/Judo;10
2004/Japan/Sailing;2
2004/Japan/Softball;14
2004/Japan/Swimming;11
2004/Japan/Synchronized Swimming;11
2004/Japan/Wrestling;6
2004/Kazakhstan/Athletics;1
2004/Kazakhstan/Boxing;3
2004/Kazakhstan/Weightlifting;1
2004/Kazakhstan/Wrestling;3
2004/Kenya/Athletics;7
2004/Latvia/Athletics;1
2004/Latvia/Gymnastics;1
2004/Latvia/Modern Pentathlon;1
2004/Latvia/Weightlifting;1
2004/Lithuania/Athletics;2
2004/Lithuania/Modern Pentathlon;1
2004/Mexico/Athletics;1
2004/Mexico/Cycling;1
2004/Mexico/Taekwondo;2
2004/Mongolia/Judo;1
2004/Morocco/Athletics;3
2004/Netherlands/Badminton;1
2004/Netherlands/Cycling;4
2004/Netherlands/Equestrian;1
2004/Netherlands/Hockey;32
2004/Netherlands/Judo;4
2004/Netherlands/Rowing;20
2004/Netherlands/Swimming;15
2004/New Zealand/Canoeing;1
2004/New Zealand/Cycling;1
2004/New Zealand/Rowing;2
2004/New Zealand/Triathlon;2
2004/Nigeria/Athletics;8
2004/North Korea/Boxing;1
2004/North Korea/Judo;1
2004/North Korea/Shooting;1
2004/North Korea/Table Tennis;1
2004/North Korea/Weightlifting;1
2004/Norway/Athletics;1
2004/Norway/Canoeing;3
2004/Norway/Cycling;1
2004/Norway/Rowing;1
2004/Norway/Sailing;1
2004/Paraguay/Football;17
2004/Poland/Athletics;2
2004/Poland/Canoeing;2
2004/Poland/Fencing;1
2004/Poland/Rowing;2
2004/Poland/Sailing;1
2004/Poland/Swimming;3
2004/Poland/Weightlifting;1
2004/Portugal/Athletics;2
2004/Portugal/Cycling;1
2004/Romania/Athletics;3
2004/Romania/Boxing;1
2004/Romania/Gymnastics;20
2004/Romania/Rowing;13
2004/Romania/Swimming;2
2004/Russia/Athletics;28
2004/Russia/Basketball;12
2004/Russia/Boxing;6
2004/Russia/Canoeing;5
2004/Russia/Cycling;5
2004/Russia/Diving;6
2004/Russia/Fencing;13
2004/Russia/Gymnastics;8
2004/Russia/Handball;14
2004/Russia/Judo;5
2004/Russia/Modern Pentathlon;1
2004/Russia/Rhythmic Gymnastics;8
2004/Russia/Rowing;4
2004/Russia/Shooting;10
2004/Russia/Swimming;1
2004/Russia/Synchronized Swimming;11
2004/Russia/Trampoline;1
2004/Russia/Volleyball;22
2004/Russia/Waterpolo;13
2004/Russia/Weightlifting;8
2004/Russia/Wrestling;10
2004/Serbia and Montenegro/Shooting;1
2004/Serbia and Montenegro/Waterpolo;12
2004/Slovakia/Canoeing;8
2004/Slovakia/Judo;1
2004/Slovakia/Shooting;1
2004/Slovenia/Athletics;1
2004/Slovenia/Judo;1
2004/Slovenia/Rowing;2
2004/Slovenia/Sailing;1
2004/South Africa/Athletics;2
2004/South Africa/Rowing;2
2004/South Africa/Swimming;6
2004/South Korea/Archery;8
2004/South Korea/Badminton;7
2004/South Korea/Boxing;2
2004/South Korea/Gymnastics;2
2004/South Korea/Handball;15
2004/South Korea/Judo;3
2004/South Korea/Shooting;3
2004/South Korea/Table Tennis;4
2004/South Korea/Taekwondo;4
2004/South Korea/Weightlifting;2
2004/South Korea/Wrestling;2
2004/Spain/Athletics;2
2004/Spain/Beach Volleyball;2
2004/Spain/Canoeing;2
2004/Spain/Cycling;8
2004/Spain/Equestrian;5
2004/Spain/Gymnastics;2
2004/Spain/Sailing;5
2004/Spain/Shooting;1
2004/Spain/Tennis;2
2004/Sweden/Athletics;3
2004/Sweden/Canoeing;2
2004/Sweden/Equestrian;4
2004/Sweden/Sailing;2
2004/Sweden/Wrestling;1
2004/Switzerland/Beach Volleyball;2
2004/Switzerland/Cycling;3
2004/Switzerland/Fencing;1
2004/Switzerland/Triathlon;1
2004/Syria/Boxing;1
2004/Thailand/Boxing;3
2004/Thailand/Taekwondo;1
2004/Thailand/Weightlifting;4
2004/Trinidad and Tobago/Swimming;1
2004/Turkey/Athletics;1
2004/Turkey/Boxing;1
2004/Turkey/Taekwondo;1
2004/Turkey/Weightlifting;4
2004/Turkey/Wrestling;3
2004/Ukraine/Archery;3
2004/Ukraine/Athletics;4
2004/Ukraine/Canoeing;4
2004/Ukraine/Fencing;1
2004/Ukraine/Gymnastics;1
2004/Ukraine/Handball;15
2004/Ukraine/Judo;1
2004/Ukraine/Rhythmic Gymnastics;1
2004/Ukraine/Rowing;4
2004/Ukraine/Sailing;5
2004/Ukraine/Shooting;1
2004/Ukraine/Swimming;3
2004/Ukraine/Trampoline;1
2004/Ukraine/Weightlifting;2
2004/Ukraine/Wrestling;2
2004/United Arab Emirates/Shooting;1
2004/United States/Athletics;39
2004/United States/Basketball;24
2004/United States/Beach Volleyball;4
2004/United States/Boxing;2
2004/United States/Canoeing;1
2004/United States/Cycling;3
2004/United States/Equestrian;15
2004/United States/Fencing;2
2004/United States/Football;17
2004/United States/Gymnastics;19
2004/United States/Judo;1
2004/United States/Rowing;18
2004/United States/Sailing;4
2004/United States/Shooting;3
2004/United States/Softball;15
2004/United States/Swimming;65
2004/United States/Synchronized Swimming;11
2004/United States/Taekwondo;2
2004/United States/Tennis;1
2004/United States/Triathlon;1
2004/United States/Waterpolo;12
2004/United States/Wrestling;6
2004/Uzbekistan/Boxing;2
2004/Uzbekistan/Wrestling;3
2004/Venezuela/Taekwondo;1
2004/Venezuela/Weightlifting;1
2004/Zimbabwe/Swimming;3
2006/Australia/Freestyle Skiing;2
2006/Austria/Alpine Skiing;14
2006/Austria/Cross Country Skiing;1
2006/Austria/Luge;2
2006/Austria/Nordic Combined;6
2006/Austria/Ski Jumping;6
2006/Austria/Snowboarding;1
2006/Belarus/Freestyle Skiing;1
2006/Bulgaria/Short-Track Speed Skating;1
2006/Canada/Bobsleigh;2
2006/Canada/Cross Country Skiing;3
2006/Canada/Curling;10
2006/Canada/Figure Skating;1
2006/Canada/Freestyle Skiing;1
2006/Canada/Ice Hockey;20
2006/Canada/Short-Track Speed Skating;12
2006/Canada/Skeleton;3
2006/Canada/Snowboarding;1
2006/Canada/Speed Skating;16
2006/China/Figure Skating;4
2006/China/Freestyle Skiing;2
2006/China/Short-Track Speed Skating;5
2006/China/Speed Skating;2
2006/Croatia/Alpine Skiing;3
